index,temporal_dependency,parallel_activity_ratio,long_term_dependencies,activity_appearance_rate,unique_paths_ratio
5500 - 5600,0.5773195876288659,0.2058407913330193,0.3728813559322034,0.0,1.0
5600 - 5700,0.5179908504931603,0.4017907106883044,0.0,0.0,1.0
5700 - 5800,0.42268041237113396,0.32288254562470753,0.0,0.0,1.0
5800 - 5900,0.6957755154193094,0.26506024096385544,0.4076923076923077,3.0,1.0
5900 - 6000,0.5465695311147833,0.30994152046783624,0.0,0.0,1.0
6000 - 6100,0.6872963540765216,0.29217025748817654,0.0,0.0,1.0
6100 - 6200,0.5152623710448052,0.22041031036296685,0.0,0.0,1.0
6200 - 6300,0.42943294259565284,0.2873684210526316,0.0,0.0,1.0
6300 - 6400,0.705263157894737,0.2646775745909528,0.1774193548387097,0.0,1.0
6400 - 6500,0.6081104367627435,0.2488356620093147,0.0,0.0,1.0
6500 - 6600,0.6623207474003768,0.12926249008723237,0.21176470588235294,0.3333333333333333,1.0
6600 - 6700,0.5308270618110623,0.34225844004656575,0.0,0.0,1.0
6700 - 6800,0.6377662759289856,0.2962962962962963,0.0,0.0,1.0
6800 - 6900,0.47675373709109864,0.22075712462781796,0.1864406779661017,0.0,1.0
6900 - 7000,0.6827377576204395,0.4428412874583796,0.0,0.0,1.0
7000 - 7100,0.5831296874098554,0.44,0.0,0.0,1.0
7100 - 7200,0.6453099892925087,0.3792307692307692,0.0,0.0,1.0
7200 - 7300,0.5670103092783504,0.46670526925303996,0.0,0.0,1.0
7300 - 7400,0.5909930988907249,0.17693836978131214,0.22033898305084745,0.0,1.0
7400 - 7500,0.5179908504931601,0.3150684931506849,0.0,0.0,1.0
7500 - 7600,0.6288659793814434,0.3704572098475967,0.0,0.0,1.0
7600 - 7700,0.6041666666666665,0.32112845138055224,0.0,0.0,1.0
7700 - 7800,0.627823836165408,0.3286624203821656,0.0,0.0,1.0
7800 - 7900,0.5717663532992111,0.6608140462889066,0.0,0.0,1.0
7900 - 8000,0.7220510211140291,0.5424448217317487,0.0,0.0,1.0
8000 - 8100,0.4043529995560417,0.7259786476868327,0.0,0.0,0.7777777777777778
8100 - 8200,0.47500733704287135,0.041357370095440084,0.16500980591059716,3.2,1.0
8200 - 8300,0.5378662888597452,0.02511415525114155,0.17138707334785766,2.75,1.0
8300 - 8400,0.6708982894053644,0.03688239387613083,0.156794425087108,0.4,1.0
8400 - 8500,0.6743264322240583,0.034261241970021415,0.14518814518814518,1.75,1.0
8500 - 8600,0.5972186491074941,0.049591598599766626,0.025657894736842105,0.3333333333333333,1.0
8600 - 8700,0.6611528644481167,0.0546448087431694,0.062111801242236024,0.25,1.0
8700 - 8800,0.7136655926719865,0.0501952035694367,0.04878048780487805,0.0,1.0
8800 - 8900,0.5196620524739503,0.033637400228050174,0.1344611528822055,1.3333333333333333,1.0
8900 - 9000,0.6595922679520221,0.05761067313523347,0.04060150375939849,0.0,1.0
9000 - 9100,0.751587539865871,0.03968938740293356,0.057647907647907656,0.0,1.0
9100 - 9200,0.6423526536437577,0.022244191794364803,0.19246646026831785,0.0,1.0
9200 - 9300,0.7238565103715943,0.04879250862493839,0.1620689655172414,3.0,1.0
9300 - 9400,0.6246930215941328,0.03939184519695923,0.2693718228031954,0.2,1.0
9400 - 9500,0.4816060565449047,0.13402061855670103,0.19504830917874394,0.6666666666666666,1.0
9500 - 9600,0.5720641752131242,0.054508405501782986,0.20794025157232707,0.0,1.0
9600 - 9700,0.6686965778116397,0.04790721129601614,0.11352040816326531,0.0,1.0
9700 - 9800,0.6506201455875813,0.05856595511767926,0.22255667038275734,0.0,1.0
9800 - 9900,0.5715462264716901,0.04256384576865298,0.18366050441522142,0.0,1.0
9900 - 10000,0.7062804204847142,0.03048780487804878,0.04081632653061224,0.0,1.0
